Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,15856574731.4411
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.6
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,4
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.737
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,477.307009334445
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11926962834.9645
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.5
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,45
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.163
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3530.69065641895
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,161205065469.309
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.5
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.5
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.54
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3407.25117062983
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,576000000
American Samoa,ASM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.594
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3355695364.23841
Andorra,AND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,81
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.819
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,83799496611.2004
Angola,AGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.5
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.8
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.783
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1108.33871700032
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1148700000
Antigua and Barbuda,ATG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.1
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,47
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.238
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,423627422092.49
Argentina,ARG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,45
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,90.849
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,8810.35921254626
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9260284937.79782
Armenia,ARM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.8
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,25
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.44
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2918.10165338306
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2390502793.29609
Aruba,ABW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,62
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.059
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19741.1498025232
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1146138465603.81
Australia,AUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.7
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,76
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.182
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39980.7729946189
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,391892746544.69
Austria,AUT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8.9
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.17
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.399
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,38977.2071273785
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,52902703376.1056
Azerbaijan,AZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.5
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,46
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.406
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3868.82851990262
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10095760000
"Bahamas, The",BHS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.4
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,43
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.427
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25824.3779829236
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,25713271276.5957
Bahrain,BHR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,15.4
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,55
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.634
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16640.9029902762
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,115279077465.226
Bangladesh,BGD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.6
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.7
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.462
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,771.853781928299
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4529928300
Barbados,BRB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,8
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.1
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.87
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13912.7365687165
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,58665088956.0255
Belarus,BLR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.6
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.8
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.672
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5505.32848719373
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,480951629493.033
Belgium,BEL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.3
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,75
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.651
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,37246.5542732993
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1377179137.31754
Belize,BLZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,9.8
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,28.2
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.228
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3022.69845201245
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,6977040762.19148
Benin,BEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,4.6
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.13
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.093
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,637.332425990881
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,5744414000
Bermuda,BMU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.21
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1547991317.5991
Bhutan,BTN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.6
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.6
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.793
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1930.88087532138
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,19649631450.6819
Bolivia,BOL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,22.4
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.43
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1545.67101588493
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17176781336.7644
Bosnia and Herzegovina,BIH,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,7.1
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,42.75
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.558
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4124.58569157203
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,12786654365.8738
Botswana,BWA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,5.4
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,6
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.412
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4648.7675980715
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2208871646202.82
Brazil,BRA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.4
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.65
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.335
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9337.19418795313
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
British Virgin Islands,VGB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,10.2
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,37
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.814
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13707370737.0737
Brunei Darussalam,BRN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,12.6
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,53
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.961
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25507.6650034023
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,50610058210.3696
Bulgaria,BGR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,6.5
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,46.23
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.302
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5580.3422267071
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,8979966766.07232
Burkina Faso,BFA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,3.8
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.4
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.633
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,454.632897124803
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2032135246.50004
Burundi,BDI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,1.8
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.642
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,149.049398763064
