Diabetes,GDP,Internet,UrbanPop,Income
2.2,20186496527.1256,12.5,19.383,487.942916076663
7.40356750185056,325676083750.011,24.4909812335054,57.4766600771289,8392.30583771036
3.8,8979966766.07232,2.4,24.633,454.632897124803
7.24414122790399,3107761082673.34,35.6206969378559,65.6360804143785,6202.59984009849
9.3,37268614024.3178,36.5,71.736,7299.73255906445
9.97308752246834,2768612618761.04,25.0327265202501,62.656620837851,5831.17927195772
3.9,26143818509.6421,4.3,51.559,1059.83963564738
7.36448519311883,5152595384307.39,34.9761650872737,78.4837233244933,7386.95476053944
18.7,289787338325.391,68,84.087,30537.8169423028
6.4,2208871646202.82,40.65,84.335,9337.19418795313
6,299361576558.217,44.4,76.292,21801.2777099655
7.813139538374,2060781195902.96,7.21973969713248,30.8173672497107,1108.13317144654
10.2,239809387605.427,71,100,40099.6661185365
6,19649631450.6819,22.4,66.43,1545.67101588493
5.2,11242275198.9783,1.26,20.294,660.406992166474
4,20265556273.582,10,39.355,999.132232505492
13.4,369485198.817979,16,23.389,3346.56259413858
9.5,64328000000,15.9,76.597,4815.75677566225
5.18766970262083,1474650692055.58,6.50087420359764,33.3999186507852,895.54618647004
7.43634969812178,5347667372985.87,34.7021411941668,78.5267610666317,7419.15273198885
