Diabetes,GDP,Internet,UrbanPop,Income
8.6,15856574731.4411,4,23.737,477.307009334445
4.5,11926962834.9645,45,52.163,3530.69065641895
8.5,161205065469.309,12.5,67.54,3407.25117062983
3.5,83799496611.2004,2.8,59.783,1108.33871700032
5.7,423627422092.49,45,90.849,8810.35921254626
7.8,9260284937.79782,25,63.44,2918.10165338306
10.2,2390502793.29609,62,43.059,19741.1498025232
5.7,1146138465603.81,76,85.182,39980.7729946189
8.9,391892746544.69,75.17,57.399,38977.2071273785
7.5,52902703376.1056,46,53.406,3868.82851990262
10.4,10095760000,43,82.427,25824.3779829236
15.4,25713271276.5957,55,88.634,16640.9029902762
6.6,115279077465.226,3.7,30.462,771.853781928299
8,4529928300,65.1,31.87,13912.7365687165
7.6,58665088956.0255,31.8,74.672,5505.32848719373
5.3,480951629493.033,75,97.651,37246.5542732993
9.8,1377179137.31754,28.2,45.228,3022.69845201245
4.6,6977040762.19148,3.13,43.093,637.332425990881
3.6,1547991317.5991,13.6,34.793,1930.88087532138
7.1,17176781336.7644,42.75,45.558,4124.58569157203
5.4,12786654365.8738,6,62.412,4648.7675980715
12.6,13707370737.0737,53,74.961,25507.6650034023
6.5,50610058210.3696,46.23,72.302,5580.3422267071
1.8,2032135246.50004,1,10.642,149.049398763064
5.3,1664310769.55229,30,61.821,2554.30074315258
9.2,1613542812589.39,80.3,80.937,38427.3680313043
4.5,2140503193.16261,2,38.904,411.633361061773
3.7,10657705536.4978,1.7,21.985,670.452945475422
5.7,218537551220.071,45,87.074,9146.42011283422
4.2,6087164527421.24,34.3,49.226,3459.18181520509
5.2,286103648654.545,36.5,77.964,5024.44650854168
3.4,907093130.313521,5.1,27.973,1172.44810928087
3.2,21565720044.4634,0.72,40.013,242.204683095837
5.1,12007880438.6232,5,63.256,492.151010742314
4.7,24884505034.5564,2.7,47.33,1090.91015244041
6.9,59807966533.2848,56.55,55.155,11183.8798464306
9.1,25732432719.0773,52.99,67.551,26205.3584018905
6.4,207477857918.919,68.82,73.255,14047.2333155915
5.6,321995279401.502,88.72,86.795,47972.2234671855
11.5,493824407.407407,47.45,68.094,6024.60441741704
11.2,53860187452.8829,31.4,73.753,5124.04886063016
5.9,69555367000,29.03,62.69,3667.0114722024
11.4,218888324504.753,21.6,43.019,2258.17365343153
9,18448000000,15.9,65.452,2684.76731340986
4.8,16298542027.9965,6,65.94,2673.79031452025
2.5,2117039512.19512,0.61,35.175,587.9966245182
7.6,19685033799.4182,74.1,68.094,11363.2205670544
4.2,4438778553.63533,11.04,22.48,3399.71251545098
2.5,29933790334.3418,0.75,17.319,259.077562479447
9.4,3140508835.9485,20,52.171,3221.78143726223
5.7,249181190476.369,86.89,83.77,37972.2581888908
6.7,2642609548930.36,77.28,78.369,34311.5177305945
5,14358584300.3006,13,85.533,4586.30319837672
4.3,1543292392.54605,9.2,55.662,382.64644936854
7.5,12243505582.6741,26.9,55.535,2629.7491650307
8.9,3396354075663.73,82,76.966,35069.509689564
4.3,32174772955.9748,7.8,50.713,979.157375117576
8.6,41338008612.7727,10.5,48.403,2371.2792289208
4.3,6853467857.61127,1,33.678,482.933104295124
3.9,849050127.504407,2.45,40.111,468.563565784355
9.5,2273225041.96217,29.9,26.634,2660.47700507396
7.2,6622541528.56888,8.37,47.509,628.6312063041
9.1,15839344591.9842,11.09,51.885,1670.71286799634
6.4,131135561228.374,65,68.911,10096.5424377665
7.8,1675615335600.56,7.5,30.93,1172.80456673438
4.8,755094160363.071,10.92,49.914,2325.62981074064
8,487069570463.768,15.9,70.626,5355.08543284137
10.2,138516722649.573,2.5,69.103,3721.64531126425
5.2,222148757313.006,69.85,61.542,33811.358785593
6.5,233995676194.679,67.5,91.826,25867.4726993398
5.9,2134017843247.16,53.68,68.327,29459.5332956227
10.6,13220556882.7046,27.67,53.743,4134.57238524099
